IM,IM_T,correlation_matrix_empirical
Sa[0.01],Sa[0.01],1.0
Sa[0.01],Sa[0.025],0.9054484077180917
Sa[0.01],Sa[0.05],0.760616142811369
Sa[0.01],Sa[0.075],0.7189749147968468
Sa[0.01],Sa[0.125],0.6434617578961659
Sa[0.01],Sa[0.15],0.6263462709109038
Sa[0.01],Sa[0.175],0.6028914858050399
Sa[0.01],Sa[0.1],0.6848254623118225
Sa[0.01],Sa[0.25],0.5254325173600346
Sa[0.01],Sa[0.2],0.5694383795077429
Sa[0.01],Sa[0.3],0.5079210046605063
Sa[0.01],Sa[0.4],0.393526579273112
Sa[0.01],Sa[0.5],0.2893649668401077
Sa[0.01],Sa[0.6],0.1920584862667247
Sa[0.01],Sa[0.7],0.1155151883708501
Sa[0.01],Sa[0.85],0.0469614373388693
Sa[0.01],Sa[1.0],0.0220993780738194
Sa[0.01],Sa[1.5],0.0490242635252678
Sa[0.01],Sa[2.0],0.0989817486919924
Sa[0.01],Sa[2.5],0.1220896410471804
Sa[0.01],Sa[3.0],0.2011033707901744
Sa[0.01],Sa[4.0],0.2377237202830248
Sa[0.01],Sa[5.0],0.2350595275743773
Sa[0.1],Sa[0.01],0.6848254623118225
Sa[0.1],Sa[0.025],0.6334751205013128
Sa[0.1],Sa[0.05],0.6431587715823995
Sa[0.1],Sa[0.075],0.8166792408698931
Sa[0.1],Sa[0.125],0.8097473580567045
Sa[0.1],Sa[0.15],0.6402617891563437
Sa[0.1],Sa[0.175],0.5277187891137426
Sa[0.1],Sa[0.1],1.0
Sa[0.1],Sa[0.25],0.3439690571794819
Sa[0.1],Sa[0.2],0.4405518526830261
Sa[0.1],Sa[0.3],0.2931918086578005
Sa[0.1],Sa[0.4],0.1745745401384371
Sa[0.1],Sa[0.5],0.0690017727144011
Sa[0.1],Sa[0.6],-0.0149598609927869
Sa[0.1],Sa[0.7],-0.062674943896968
Sa[0.1],Sa[0.85],-0.1231901651367434
Sa[0.1],Sa[1.0],-0.1419484853924868
Sa[0.1],Sa[1.5],-0.0948358260051147
Sa[0.1],Sa[2.0],-0.0259796956267335
Sa[0.1],Sa[2.5],-0.0431652542845154
Sa[0.1],Sa[3.0],0.0239680180123368
Sa[0.1],Sa[4.0],0.068984459177094
Sa[0.1],Sa[5.0],0.0471395807317229
Sa[0.2],Sa[0.01],0.5694383795077429
Sa[0.2],Sa[0.025],0.4953748478885004
Sa[0.2],Sa[0.05],0.3862779076385109
Sa[0.2],Sa[0.075],0.3998841130840411
Sa[0.2],Sa[0.125],0.5132661009019143
Sa[0.2],Sa[0.15],0.687493782867876
Sa[0.2],Sa[0.175],0.8958965459029756
Sa[0.2],Sa[0.1],0.4405518526830261
Sa[0.2],Sa[0.25],0.7747741911233272
Sa[0.2],Sa[0.2],1.0
Sa[0.2],Sa[0.3],0.5277611897812362
Sa[0.2],Sa[0.4],0.2704931406678216
Sa[0.2],Sa[0.5],0.1312073697230818
Sa[0.2],Sa[0.6],0.0477655662384511
Sa[0.2],Sa[0.7],0.0004745215008639
Sa[0.2],Sa[0.85],-0.0507290255469125
Sa[0.2],Sa[1.0],-0.06822643093015
Sa[0.2],Sa[1.5],-0.041717787701317
Sa[0.2],Sa[2.0],-0.0071793814094004
Sa[0.2],Sa[2.5],0.0036001046774064
Sa[0.2],Sa[3.0],0.0712998101860624
Sa[0.2],Sa[4.0],0.1082101332763112
Sa[0.2],Sa[5.0],0.0922632592827327
Sa[0.3],Sa[0.01],0.5079210046605063
Sa[0.3],Sa[0.025],0.4796104853923549
Sa[0.3],Sa[0.05],0.3499673751885748
Sa[0.3],Sa[0.075],0.300699658141876
Sa[0.3],Sa[0.125],0.2898538672412769
Sa[0.3],Sa[0.15],0.3407229585328805
Sa[0.3],Sa[0.175],0.4210729830517495
Sa[0.3],Sa[0.1],0.2931918086578005
Sa[0.3],Sa[0.25],0.819998182819641
Sa[0.3],Sa[0.2],0.5277611897812362
Sa[0.3],Sa[0.3],1.0
Sa[0.3],Sa[0.4],0.6736064656704864
Sa[0.3],Sa[0.5],0.4103492565204407
Sa[0.3],Sa[0.6],0.2373766832837019
Sa[0.3],Sa[0.7],0.1334947918416222
Sa[0.3],Sa[0.85],0.0620379005705132
Sa[0.3],Sa[1.0],0.0415414768937869
Sa[0.3],Sa[1.5],0.0620082738568978
Sa[0.3],Sa[2.0],0.1157137096133256
Sa[0.3],Sa[2.5],0.154028521635609
Sa[0.3],Sa[3.0],0.2099009997721962
Sa[0.3],Sa[4.0],0.251324292151226
Sa[0.3],Sa[5.0],0.272436637155779
Sa[0.4],Sa[0.01],0.393526579273112
Sa[0.4],Sa[0.025],0.3897326198668601
Sa[0.4],Sa[0.05],0.2631351383646273
Sa[0.4],Sa[0.075],0.1881377903053149
Sa[0.4],Sa[0.125],0.1705744833358428
Sa[0.4],Sa[0.15],0.1899083462377971
Sa[0.4],Sa[0.175],0.2220369218766906
Sa[0.4],Sa[0.1],0.1745745401384371
