Structural System,Pd_inside|CS1,Pd_inside|CS2,Pd_inside|CS3,Pd_outside|CS1,Pd_outside|CS2,Pd_outside|CS3,Median_PGA_chd,beta_chd
'11_20_11_20_03_03<3',0.08200,0.08200,0.08200,0.02000,0.02000,0.02000,0,0
'11_20_11_20_03_03>=3',0.08200,0.08200,0.08200,0.01667,0.01667,0.01667,0,0
'11_60_11_03_03_10<3',0.32800,0.32800,0.32800,0.10000,0.10000,0.10000,205.18,2.22
'11_60_11_03_10_10<3',0.32800,0.32800,0.32800,0.10000,0.10000,0.10000,205.18,2.22
'11_60_11_03_10_10>=3',0.32800,0.32800,0.32800,0.10000,0.10000,0.10000,152.89,2.17
'11_60_11_60_03_10<3',0.16400,0.16400,0.16400,0.04000,0.04000,0.04000,0,0
'11_60_11_60_03_10>=3',0.16400,0.16400,0.16400,0.04000,0.04000,0.04000,0,0
'11_60_11_60_10_10<3',0.16400,0.16400,0.16400,0.05000,0.05000,0.05000,0,0
'12_20_12_20_03_03<3',0.08200,0.08200,0.08200,0.02000,0.02000,0.02000,0,0
'12_20_12_20_03_03>=3',0.08200,0.08200,0.08200,0.01667,0.01667,0.01667,0,0
'12_30_12_30_03_10<3',0.08200,0.08200,0.08200,0.02000,0.02000,0.02000,0,0
'12_30_12_30_03_10>=3',0.06560,0.06560,0.06560,0.01600,0.01600,0.01600,0,0
'12_60_12_03_10_10<3',0.16400,0.16400,0.16400,0.05000,0.05000,0.05000,205.18,2.22
'12_60_12_03_10_10>=3',0.16400,0.16400,0.16400,0.05000,0.05000,0.05000,152.89,2.17
'12_60_12_60_03_10<3',0.08200,0.08200,0.08200,0.02000,0.02000,0.02000,0,0
'12_60_12_60_03_10>=3',0.08200,0.08200,0.08200,0.02000,0.02000,0.02000,0,0
'20_50_20_50_03_30<3',0.01515,0.07840,0.18760,0.00000,0.00000,0.10000,1479.83,2.52
'20_50_20_50_03_30>=3',0.01515,0.07840,0.18760,0.00000,0.00000,0.10000,1479.83,2.52
'20_60_20_03_03_30<3',0.00000,0.26880,0.36400,0.01667,0.05000,0.40000,261.12,2.26
'20_60_20_03_03_30>=3',0.00000,0.26880,0.36400,0.02500,0.07500,0.40000,152.89,2.17
'20_60_20_03_10_10<3_70',0.01120,0.01120,0.36400,0.02400,0.02400,0.40000,205.18,2.22
'20_60_20_03_10_10<3_90',0.00158,0.00371,0.36400,0.00300,0.00450,0.40000,205.18,2.22
'20_60_20_03_10_10>=3',0.00056,0.05063,0.36400,0.02500,0.07500,0.65000,152.89,2.17
'20_60_20_03_10_30<3',0.00000,0.22400,0.36400,0.08333,0.13333,0.40000,261.12,2.26
'20_60_20_03_10_30>=3',0.00000,0.22400,0.36400,0.12500,0.20000,0.40000,152.89,2.17
'20_60_20_60_03_30<3',0.22400,0.22400,0.36400,0.00000,0.00278,0.15000,570.45,2.38
'20_60_20_60_03_30>=3',0.00000,0.26880,0.36400,0.01282,0.03846,0.40000,369.83,2.31
'20_60_20_60_10_10<3',0.00000,0.00857,0.36400,0.00741,0.00741,0.15000,570.45,2.38
'20_60_20_60_10_10>=3',0.00000,0.05600,0.11200,0.02500,0.06250,0.10000,965.00,2.46
'20_60_20_60_10_30<3',0.00000,0.22400,0.36400,0.04630,0.07407,0.15000,570.45,2.38
