Structural System,Pd_inside|CS1,Pd_inside|CS2,Pd_inside|CS3,Pd_outside|CS1,Pd_outside|CS2,Pd_outside|CS3,Median_PGA_chd,beta_chd
'11_20_11_20_03_03<3',0.12300,0.12300,0.12300,0.03000,0.03000,0.03000,0,0
'11_20_11_20_03_03>=3',0.12300,0.12300,0.12300,0.02500,0.02500,0.02500,0,0
'11_60_11_03_03_10<3',0.41000,0.41000,0.41000,0.12500,0.12500,0.12500,168.92,2.05
'11_60_11_03_10_10<3',0.41000,0.41000,0.41000,0.12500,0.12500,0.12500,168.92,2.05
'11_60_11_03_10_10>=3',0.41000,0.41000,0.41000,0.12500,0.12500,0.12500,129.69,2.01
'11_60_11_60_03_10<3',0.20500,0.20500,0.20500,0.05000,0.05000,0.05000,0,0
'11_60_11_60_03_10>=3',0.20500,0.20500,0.20500,0.05000,0.05000,0.05000,0,0
'11_60_11_60_10_10<3',0.20500,0.20500,0.20500,0.06250,0.06250,0.06250,0,0
'12_20_12_20_03_03<3',0.12300,0.12300,0.12300,0.03000,0.03000,0.03000,0,0
'12_20_12_20_03_03>=3',0.12300,0.12300,0.12300,0.02500,0.02500,0.02500,0,0
'12_30_12_30_03_10<3',0.10660,0.10660,0.10660,0.02600,0.02600,0.02600,0,0
'12_30_12_30_03_10>=3',0.08200,0.08200,0.08200,0.02000,0.02000,0.02000,0,0
'12_60_12_03_10_10<3',0.24600,0.24600,0.24600,0.07500,0.07500,0.07500,168.92,2.05
'12_60_12_03_10_10>=3',0.24600,0.24600,0.24600,0.07500,0.07500,0.07500,129.69,2.01
'12_60_12_60_03_10<3',0.12300,0.12300,0.12300,0.03000,0.03000,0.03000,0,0
'12_60_12_60_03_10>=3',0.12300,0.12300,0.12300,0.03000,0.03000,0.03000,0,0
'20_50_20_50_03_30<3',0.02021,0.09800,0.22400,0.00600,0.00000,0.15000,993.99,2.32
'20_50_20_50_03_30>=3',0.02021,0.09800,0.22400,0.00500,0.00000,0.15000,993.99,2.32
'20_60_20_03_03_30<3',0.00000,0.30240,0.42000,0.03333,0.06667,0.50000,209.76,2.09
'20_60_20_03_03_30>=3',0.00000,0.30240,0.42000,0.05000,0.10000,0.50000,129.69,2.01
'20_60_20_03_10_10<3_70',0.02240,0.02240,0.42000,0.04800,0.04800,0.50000,168.92,2.05
'20_60_20_03_10_10<3_90',0.00317,0.00742,0.42000,0.00600,0.00900,0.50000,168.92,2.05
'20_60_20_03_10_10>=3',0.00084,0.05696,0.42000,0.05000,0.10000,0.75000,129.69,2.01
'20_60_20_03_10_30<3',0.00000,0.28000,0.42000,0.10000,0.16667,0.50000,209.76,2.09
'20_60_20_03_10_30>=3',0.00000,0.28000,0.42000,0.15000,0.25000,0.50000,129.69,2.01
'20_60_20_60_03_30<3',0.25200,0.25200,0.42000,0.00000,0.00370,0.25000,422.92,2.19
'20_60_20_60_03_30>=3',0.00000,0.30240,0.42000,0.02564,0.05128,0.50000,286.68,2.14
'20_60_20_60_10_10<3',0.00000,0.01680,0.42000,0.01111,0.01111,0.25000,422.92,2.19
'20_60_20_60_10_10>=3',0.00000,0.06767,0.14000,0.03750,0.07500,0.12500,677.59,2.26
'20_60_20_60_10_30<3',0.00000,0.28000,0.42000,0.05556,0.09259,0.25000,422.92,2.19
'20_60_20_60_10_30>=3',0.00000,0.28000,0.42000,0.10000,0.16667,0.50000,209.76,2.09
'20_60_30_20_03_03<3',0.01680,0.01680,0.01680,0.00600,0.00600,0.00600,0,0
'20_60_30_20_03_03>=3',0.01680,0.01680,0.01680,0.00500,0.00500,0.00500,0,0
'30_20_30_20_10_03<3',0.42000,0.42000,0.42000,0.15000,0.15000,0.15000,993.99,2.32
'30_20_30_20_10_03>=3',0.42000,0.42000,0.42000,0.12500,0.12500,0.12500,993.99,2.32
'30_60_30_03_03_30<3',0.00840,0.00840,0.00840,0.00750,0.00750,0.00750,129.69,2.01
'30_60_30_03_10_30<3',0.00840,0.00840,0.00840,0.00750,0.00750,0.00750,129.69,2.01
'30_60_30_03_10_30>=3',0.00840,0.00840,0.00840,0.00750,0.00750,0.00750,129.69,2.01
'30_60_30_60_03_30<3',0.00840,0.00840,0.00840,0.00750,0.00750,0.00750,286.68,2.14
'30_60_30_60_03_30>=3',0.00840,0.00840,0.00840,0.00750,0.00750,0.00750,286.68,2.14
'30_60_30_60_10_30<3',0.00840,0.00840,0.00840,0.00750,0.00750,0.00750,286.68,2.14
