X_RD,Y_RD,zoneid,groupid
227950,589750,1206,1
227950,589850,1206,1
227950,589950,1206,1
227950,590050,1206,1
227950,590150,1206,1
227950,590250,1206,1
227950,590350,1206,1
228050,589050,1206,1
228050,589150,1206,1
228050,589250,1206,1
228050,589350,1206,1
228050,589450,1206,1
228050,589550,1206,1
228050,589650,1206,1
228050,589750,1206,1
228050,589850,1206,1
228050,589950,1206,1
228050,590050,1206,1
228050,590150,1206,1
228050,590250,1206,1
228050,590350,1206,1
228050,590450,1206,1
228050,590550,1206,1
228050,590650,1206,1
228050,590750,1206,1
228050,590850,1206,1
228050,590950,1206,1
228050,591050,1206,1
228150,588650,1206,1
228150,588750,1206,1
228150,588850,1206,1
228150,588950,1206,1
228150,589050,1206,1
228150,589150,1206,1
228150,589250,1206,1
228150,589350,1206,1
228150,589450,1206,1
228150,589550,1206,1
228150,589650,1206,1
228150,589750,1206,1
228150,589850,1206,1
228150,589950,1206,1
228150,590050,1206,1
228150,590150,1206,1
228150,590250,1206,1
228150,590350,1206,1
228150,590450,1206,1
228150,590550,1206,1
228150,590650,1206,1
228150,590750,1206,1
228150,590850,1206,1
228150,590950,1206,1
228150,591050,1206,1
228150,591150,1206,1
228150,591250,1206,1
228150,591350,1206,1
228150,591450,1206,1
228250,588350,1206,1
228250,588450,1206,1
228250,588550,1206,1
228250,588650,1206,1
228250,588750,1206,1
228250,588850,1206,1
228250,588950,1206,1
228250,589050,1206,1
228250,589150,1206,1
228250,589250,1206,1
228250,589350,1206,1
228250,589450,1206,1
228250,589550,1206,1
228250,589650,1206,1
228250,589750,1206,1
228250,589850,1206,1
228250,589950,1206,1
228250,590050,1206,1
228250,590150,1206,1
228250,590250,1206,1
228250,590350,1206,1
228250,590450,1206,1
228250,590550,1206,1
228250,590650,1206,1
228250,590750,1206,1
228250,590850,1206,1
228250,590950,1206,1
228250,591050,1206,1
228250,591150,1206,1
228250,591250,1206,1
228250,591350,1206,1
228250,591450,1206,1
228250,591550,1206,1
228250,591650,1206,1
228250,591750,1206,1
228350,588150,1206,1
228350,588250,1206,1
228350,588350,1206,1
228350,588450,1206,1
228350,588550,1206,1
228350,588650,1206,1
228350,588750,1206,1
228350,588850,1206,1
228350,588950,1206,1
228350,589050,1206,1
228350,589150,1206,1
228350,589250,1206,1
228350,589350,1206,1
228350,589450,1206,1
228350,589550,1206,1
228350,589650,1206,1
228350,589750,1206,1
228350,589850,1206,1
228350,589950,1206,1
228350,590050,1206,1
228350,590150,1206,1
228350,590250,1206,1
228350,590350,1206,1
228350,590450,1206,1
228350,590550,1206,1
228350,590650,1206,1
228350,590750,1206,1
228350,590850,1206,1
228350,590950,1206,1
228350,591050,1206,1
228350,591150,1206,1
228350,591250,1206,1
228350,591350,1206,1
228350,591450,1206,1
228350,591550,1206,1
228350,591650,1206,1
228350,591750,1206,1
228350,591850,1206,1
228350,591950,1206,1
228350,597950,1107,1
228350,598050,1107,1
228350,598150,1107,1
228350,598250,1107,1
228350,598350,1107,1
228350,598450,1107,1
228350,598550,1107,1
228350,598650,1107,1
228450,587950,1206,1
228450,588050,1206,1
228450,588150,1206,1
228450,588250,1206,1
228450,588350,1206,1
228450,588450,1206,1
228450,588550,1206,1
228450,588650,1206,1
228450,588750,1206,1
228450,588850,1206,1
228450,588950,1206,1
228450,589050,1206,1
228450,589150,1206,1
228450,589250,1206,1
228450,589350,1206,1
228450,589450,1206,1
228450,589550,1206,1
228450,589650,1206,1
228450,589750,1206,1
228450,589850,1206,1
228450,589950,1206,1
228450,590050,1206,1
228450,590150,1206,1
228450,590250,1206,1
228450,590350,1206,1
228450,590450,1206,1
228450,590550,1206,1
228450,590650,1206,1
228450,590750,1206,1
228450,590850,1206,1
228450,590950,1206,1
228450,591050,1206,1
228450,591150,1206,1
228450,591250,1206,1
228450,591350,1206,1
228450,591450,1206,1
228450,591550,1206,1
228450,591650,1206,1
228450,591750,1206,1
228450,591850,1206,1
228450,591950,1206,1
228450,592050,1206,1
228450,592150,1206,1
228450,592250,1206,1
228450,592350,1206,1
228450,592450,1206,1
228450,592550,1206,1
228450,592650,1007,1
228450,592750,1007,1
228450,597250,1107,1
228450,597350,1107,1
228450,597450,1107,1
228450,597550,1107,1
228450,597650,1107,1
228450,597750,1107,1
228450,597850,1107,1
228450,597950,1107,1
228450,598050,1107,1
228450,598150,1107,1
228450,598250,1107,1
228450,598350,1107,1
228450,598450,1107,1
228450,598550,1107,1
228450,598650,1107,1
228450,598750,1107,1
228450,598850,1107,1
228450,598950,1107,1
228450,599050,1107,1
228450,599150,1107,1
228450,599250,1107,1
228450,599350,1107,1
228450,599450,1107,1
228550,587750,1206,1
228550,587850,1206,1
228550,587950,1206,1
228550,588050,1206,1
228550,588150,1206,1
228550,588250,1206,1
228550,588350,1206,1
228550,588450,1206,1
228550,588550,1206,1
228550,588650,1206,1
228550,588750,1206,1
228550,588850,1206,1
228550,588950,1206,1
228550,589050,1206,1
228550,589150,1206,1
228550,589250,1206,1
228550,589350,1206,1
228550,589450,1206,1
228550,589550,1206,1
228550,589650,1206,1
228550,589750,1206,1
