periods,m0_level1,m1_level1,m2_level1,m3_level1,m4_level1,m5_level1,r0_level1,r1_level1,r2_level1,r3_level1,r4_level1,r5_level1,m0_level2,m1_level2,m2_level2,m3_level2,m4_level2,m5_level2,r0_level2,r1_level2,r2_level2,r3_level2,r4_level2,r5_level2,m0_level3,m1_level3,m2_level3,m3_level3,m4_level3,m5_level3,r0_level3,r1_level3,r2_level3,r3_level3,r4_level3,r5_level3,m0_level4,m1_level4,m2_level4,m3_level4,m4_level4,m5_level4,r0_level4,r1_level4,r2_level4,r3_level4,r4_level4,r5_level4
-0.01,1.039920427,1.140285151,-0.185096602,0.257693484,1.0596539,-0.220871676,-3.463164371,0.482433924,-1.256971678,0.110220218,-3.195343727,0.334824881,1.297538207,1.246791448,-0.165814562,0.318496324,1.109028478,-0.229820427,-3.467607903,0.483139466,-1.305802571,0.119576322,-3.263458383,0.343666177,1.485531247,1.428918133,-0.121167256,0.385472872,1.105204217,-0.214593343,-3.486259934,0.484697173,-1.309206189,0.119219045,-3.252162201,0.33907818,1.691305958,1.45239821,-0.123584348,0.395170463,1.101476818,-0.204150383,-3.533255283,0.491949291,-1.366348835,0.12715936,-3.318023591,0.347376314
0.01,4.456538433,0.600536905,-0.168391372,0.406589056,0.200819558,-0.093312215,-3.883215509,0.522091411,-1.731397703,0.159300861,-3.988039943,0.401176158,4.821203162,0.759254433,-0.139650633,0.480858333,0.203764179,-0.084317987,-3.864147535,0.518068858,-1.775133356,0.170038525,-4.077235471,0.413635252,5.077668362,1.011515189,-0.078220627,0.573043769,0.179195821,-0.066510543,-3.877669156,0.518771771,-1.779103541,0.170407577,-4.069188805,0.409276358,5.358910045,1.045474787,-0.081419282,0.586454591,0.156999429,-0.054170113,-3.925690377,0.526156109,-1.814439411,0.174874473,-4.158054358,0.421606775
0.025,5.148644649,0.616233796,-0.110636124,0.665748786,0.068145123,-0.063731009,-4.182109554,0.548034899,-2.878827266,0.3097154,-4.07683125,0.368747997,5.520008295,0.775135196,-0.079454849,0.743138091,0.06201334,-0.051330874,-4.144621603,0.540735848,-2.93901108,0.32402116,-4.186396566,0.384219984,5.782893902,1.034239135,-0.016477733,0.832424997,0.039030839,-0.034947615,-4.161309102,0.542073693,-2.93329628,0.32235075,-4.179152599,0.379839243,6.068740202,1.061323288,-0.018925024,0.848662107,0.010292194,-0.020120245,-4.191996947,0.546414705,-2.986539238,0.329762466,-4.292584933,0.396285892
0.05,5.253887911,0.582485722,-0.132010762,0.646628851,0.097439682,-0.056456682,-3.729825879,0.49685906,-1.73685024,0.160080987,-4.74534992,0.47370538,5.62079853,0.734176145,-0.107643909,0.725574903,0.096761327,-0.047733118,-3.693784354,0.490846143,-1.699437324,0.156692231,-4.854938419,0.489920296,5.885177984,0.996096836,-0.043952415,0.8161666,0.062565919,-0.026295495,-3.704852935,0.490962608,-1.706036128,0.159301437,-4.848928736,0.485813543,6.16452112,1.01520766,-0.054786469,0.836395513,0.036364274,-0.011236465,-3.739518632,0.496689368,-1.653622975,0.149223178,-4.951374566,0.500451742
0.075,5.148784063,0.535967238,-0.18868179,0.607239517,0.157891832,-0.0593312,-3.525419178,0.475084994,-0.747530177,0.014366957,-4.660427349,0.477880495,5.514001567,0.680931048,-0.171813203,0.682830995,0.159817693,-0.051194899,-3.506040041,0.47180761,-0.713264174,0.013343287,-4.72370871,0.486171583,5.779538719,0.944565261,-0.107209194,0.766494977,0.132723064,-0.034747585,-3.520663612,0.472691306,-0.710027953,0.013819679,-4.72307959,0.483979555,6.05438437,0.962174931,-0.12469405,0.789827375,0.109114244,-0.020690761,-3.547803466,0.477203569,-0.678937598,0.007886761,-4.775141702,0.490215616
0.1,4.984192321,0.486805662,-0.253481102,0.549666644,0.226652075,-0.072650624,-3.400679735,0.460220617,-0.47464091,-0.021719801,-4.244483811,0.425048128,5.346911577,0.636459333,-0.239009038,0.6254678,0.232854311,-0.066997141,-3.375786373,0.45628785,-0.462384228,-0.020042391,-4.278818527,0.429016344,5.60970346,0.898250211,-0.174738023,0.70860387,0.202269826,-0.047263397,-3.396020877,0.458758505,-0.447592953,-0.022429899,-4.278602659,0.427396712,5.886964318,0.925455315,-0.193179897,0.724877393,0.187934964,-0.038019633,-3.414775014,0.461374453,-0.445923422,-0.023272605,-4.305186887,0.429792387
0.125,4.848231608,0.458929198,-0.311118282,0.504311152,0.289564452,-0.086728416,-3.29527288,0.446739046,-0.391153354,-0.03177119,-3.85729247,0.373968994,5.211828477,0.619210599,-0.295653705,0.575472536,0.29605976,-0.080899913,-3.26200266,0.441698596,-0.404533075,-0.026342108,-3.878886283,0.376226719,5.471543574,0.879570372,-0.232116513,0.657967872,0.274528212,-0.066290019,-3.282002084,0.444438915,-0.380763353,-0.030492795,-3.878632652,0.374732832,5.749563789,0.923578978,-0.247068612,0.665298189,0.267641787,-0.059446093,-3.289161925,0.444956125,-0.404628017,-0.027264755,-3.893508146,0.375604293
0.15,4.735169048,0.458322877,-0.354637894,0.459132549,0.345152025,-0.101780056,-3.21111822,0.43546866,-0.383077862,-0.031554836,-3.556934605,0.334336767,5.099368041,0.630382989,-0.336527554,0.523523809,0.3572932,-0.09815704,-3.184966715,0.431999576,-0.393567247,-0.027358429,-3.578650947,0.337090413,5.355933768,0.887564983,-0.273718143,0.608054869,0.335607215,-0.083569614,-3.202330233,0.434188781,-0.380465681,-0.030113459,-3.574136265,0.335121391,5.632733933,0.947466522,-0.284018625,0.61314127,0.333402258,-0.07891671,-3.221302166,0.43688229,-0.399364949,-0.027628595,-3.582730438,0.335189965
0.175,4.63175007,0.476790734,-0.387577646,0.419472662,0.391710905,-0.115386161,-3.140660296,0.425733714,-0.396659174,-0.029061722,-3.327445456,0.304613335,4.993520086,0.661781057,-0.365306749,0.477598615,0.413122968,-0.116247004,-3.121911896,0.42419544,-0.405909315,-0.025570975,-3.343303119,0.306548287,5.247559178,0.919197122,-0.302050962,0.565234023,0.392599256,-0.100927369,-3.131175412,0.424249296,-0.407157988,-0.02496916,-3.336908577,0.304239238,5.524132643,0.990927629,-0.308266992,0.567046464,0.391411686,-0.09670816,-3.169470659,0.430584914,-0.413865392,-0.025525729,-3.342576914,0.304208531
0.2,4.55524782,0.51126121,-0.410888322,0.384551853,0.435758279,-0.128013843,-3.08659069,0.418903055,-0.423308312,-0.024656361,-3.132326165,0.278846172,4.913463511,0.707617774,-0.385029801,0.4460323,0.456658648,-0.128022459,-3.071955078,0.41760153,-0.406022475,-0.025059048,-3.151904723,0.281568374,5.164652665,0.960653266,-0.322937077,0.531492622,0.444273364,-0.116267534,-3.076591315,0.416614347,-0.425487134,-0.020996319,-3.142735531,0.278663708,5.435608209,1.046001052,-0.324304908,0.535427857,0.450411,-0.116263574,-3.108315147,0.42218763,-0.41894593,-0.024243848,-3.154322049,0.279974281
