periods,tau_level1,tau_level2,tau_level3,tau_level4,phi_ss_level1,phi_ss_level2
-0.01,0.2969,0.2821,0.3183,0.3072,0.4,0.51
0.01,0.2436,0.2582,0.232,0.2576,0.437,0.556
0.025,0.2423,0.2457,0.227,0.2468,0.437,0.556
0.05,0.2384,0.215,0.214,0.2183,0.437,0.556
0.075,0.2341,0.1946,0.2041,0.1952,0.437,0.556
0.1,0.2313,0.1936,0.2029,0.1888,0.437,0.556
0.125,0.2312,0.2048,0.2096,0.1961,0.432,0.551
0.15,0.2339,0.2194,0.2202,0.2093,0.429,0.546
0.175,0.2389,0.2333,0.2317,0.2232,0.426,0.543
0.2,0.2452,0.2451,0.2425,0.2358,0.423,0.54
0.25,0.2591,0.2626,0.2602,0.2555,0.419,0.534
0.3,0.272,0.2741,0.2728,0.2689,0.416,0.53
0.4,0.2914,0.2871,0.2881,0.2845,0.41,0.523
0.5,0.3037,0.2938,0.2964,0.2927,0.406,0.517
0.6,0.3116,0.2976,0.3012,0.2974,0.403,0.513
0.7,0.3169,0.3,0.3042,0.3003,0.4,0.51
0.85,0.3219,0.3021,0.307,0.303,0.396,0.505
1,0.3249,0.3034,0.3087,0.3046,0.393,0.501
1.5,0.3296,0.3053,0.3112,0.3069,0.393,0.501
2,0.3313,0.306,0.312,0.3077,0.393,0.501
2.5,0.3321,0.3063,0.3124,0.3081,0.393,0.501
3,0.3325,0.3064,0.3127,0.3083,0.393,0.501
4,0.333,0.3066,0.3129,0.3085,0.393,0.501
5,0.3332,0.3067,0.313,0.3086,0.393,0.501
