structural_system,Pd_inside|CS1,Pd_inside|CS2,Pd_inside|CS3,Pd_outside|CS1,Pd_outside|CS2,Pd_outside|CS3,Median_PGA_chd,beta_chd
RC1L,0.06396,0.06396,0.06396,0.0208,0.0208,0.0208,0,0
RC1M,0.0492,0.0492,0.0492,0.016,0.016,0.016,0,0
RC1H,0.0246,0.0246,0.0246,0.008,0.008,0.008,0,0
RC2,0.06396,0.06396,0.06396,0.0208,0.0208,0.0208,0,0
PC2,0.06396,0.06396,0.06396,0.0208,0.0208,0.0208,0,0
RC3L,0.10824,0.10824,0.492,0.0352,0.0352,0.16,241.4265497,2
RC3M,0.05412,0.05412,0.246,0.0176,0.0176,0.08,176.0807997,2
RC3H,0.02706,0.02706,0.123,0.0088,0.0088,0.04,0,0
PC3L,0.10824,0.10824,0.492,0.0352,0.0352,0.16,241.4265497,2
PC3M,0.05412,0.05412,0.246,0.0176,0.0176,0.08,176.0807997,2
PC3H,0.02706,0.02706,0.123,0.0088,0.0088,0.04,0,0
W1,0.168,0.168,0.168,0.16,0.16,0.16,0,0
W2,0.00504,0.00504,0.00504,0.0048,0.0048,0.0048,0,0
W3,0.00504,0.00504,0.00504,0.0048,0.0048,0.0048,452.969992,2
S1L,0.03936,0.03936,0.03936,0.0128,0.0128,0.0128,0,0
S1M,0.0246,0.0246,0.0246,0.008,0.008,0.008,0,0
S1H,0.01476,0.01476,0.01476,0.0048,0.0048,0.0048,0,0
S2L,0.03936,0.03936,0.03936,0.0128,0.0128,0.0128,0,0
S2M,0.0246,0.0246,0.0246,0.008,0.008,0.008,0,0
S2H,0.01476,0.01476,0.01476,0.0048,0.0048,0.0048,0,0
S3,0.01476,0.01476,0.01476,0.0048,0.0048,0.0048,0,0
URM1_F,0.01512,0.0756,0.1008,0,0,0.095,1965.677841,2
URM1_O,0.009072,0.02268,0.31248,0.0045,0.009,0.366,1252.411411,2
URM2L,0,0,0.336,0.026666667,0.053333333,0.4,176.0807997,2
URM3L,0.0252,0.06384,0.336,0.03,0.076,0.4,241.4265497,2
URM3M_U,0.00546,0.01008,0.336,0.008666667,0.016,0.533333333,176.0807997,2
URM3M_D,0.02016,0.02016,0.336,0.032,0.032,0.533333333,176.0807997,2
URM3M_B,0.0084,0.0084,0.336,0.004,0.004,0.16,1252.411411,2
URM4L,0.00672,0.0168,0.336,0.008,0.02,0.4,241.4265497,2
URM5L,0.168,0.168,0.336,0.2,0.2,0.4,241.4265497,2
URM6L,0.336,0.336,0.336,0.2,0.2,0.2,717.9891018,2
URM7L,0,0.0084,0.336,0.008,0.008,0.2,717.9891018,2
URM8L,0,0,0.336,0.048,0.08,0.2,717.9891018,2
URM9L,0.0084,0.0168,0.336,0.005,0.01,0.4,312.4762298,2
URM10,0.336,0.336,0.336,0.2,0.2,0.2,0,0
