Zone,T,a0,a1,b0,b1,M1,M2,d,f2,f3,phiS2S_1,phi_S2S_2,Sa_low,Sa_high,Afmin,Afmax
110,0.01,-0.022699413,0.13616967,0.97579889,-0.22971077,4.03,4.5,0,-0.27949619,0.035,0.30957088,0.26483706,0.001498438,0.014984381,0.25,1.7068323
110,0.025,-0.15573461,0.16745559,0.98350447,-0.23085912,4.44,4.5,0,-0.30136609,0.02,0.31653581,0.2824779,0.001332635,0.013326352,0.25,1.6981292
110,0.05,-0.46904546,0.161468,0.77299238,-0.17144083,4.5,4.5,0,-0.29431656,0.02,0.41898895,0.36229318,0.000945838,0.009458383,0.25,1.2112796
110,0.075,-0.28673506,0.077012705,0.41517873,-0.070215065,4.5,4.5,0,-0.29672871,0.035,0.40487357,0.40598801,0.001763416,0.017634161,0.25,1.0286821
110,0.1,0.13163242,-0.000336996,0.2919241,-0.034288579,4.5,4.5,0,-0.3477687,0.05,0.36955394,0.41135232,0.005771484,0.057714844,0.25,1.1386941
110,0.125,0.34168751,-0.031307167,0.22037031,-0.030651319,4.5,4.5,0,-0.41428203,0.1,0.38137154,0.42585082,0.011780198,0.11780198,0.25,1.2376388
110,0.15,0.60495137,-0.060817258,0.22643371,-0.035871821,4.5,4.5,0,-0.44170998,0.1,0.37865448,0.40806837,0.017668795,0.17668795,0.25,1.4270482
110,0.175,0.72143353,-0.069083798,0.24064013,-0.042693476,4.4935938,4.5,0,-0.43181031,0.1,0.36252952,0.38284725,0.024193101,0.24193101,0.25,1.5500091
110,0.2,0.78958059,-0.071770744,0.23344054,-0.043539933,4.4921875,4.5,0,-0.41334933,0.1,0.33832624,0.35720323,0.03085885,0.3085885,0.25,1.6411653
110,0.25,0.84314728,-0.056925522,0.1802387,-0.035057773,4.4935937,4.5,0,-0.34705963,0.1,0.3151605,0.335697,0.03588812,0.3588812,0.25,1.8400873
110,0.3,0.68944268,0,0,0,4.5,4.5,0,-0.22202174,0.1,0.3328043,0.33401273,0.038374068,0.38374068,0.25,1.9923172
110,0.4,0.71280474,0,0,0,4.5,4.5,0,-0.13522644,0.1,0.3125853,0.3,0.036789193,0.36789193,0.25,2.0395761
110,0.5,0.73067986,0,0,0,4.5,4.5,0,-0.11547775,0.1,0.3,0.3,0.031420409,0.31420409,0.25,2.0764157
110,0.6,0.79525177,0,0,0,4.5,4.5,0,-0.09254817,0.1,0.3,0.3,0.027863097,0.27863097,0.25,2.2149547
110,0.7,0.73334561,0,0,0,4.5,4.5,0,-0.051491857,0.1,0.3,0.3,0.02739425,0.2739425,0.25,2.0820138
110,0.85,0.84094925,0,0,0,4.5,4.5,0,-0.022069032,0.1,0.27225873,0.27225873,0.023499381,0.23499381,0.25,2.318561
110,1,0.84584502,0,0,0,4.5,4.5,0,0.006878534,0.05,0.2490378,0.2490378,0.015943678,0.15943678,0.25,2.3563723
110,1.5,0.78976855,0,0,0,4.5,4.5,0,0.029708231,0.05,0.1911044,0.1911044,0.009236815,0.092368151,0.25,2.3146994
110,2,0.67175515,0,0,0,4.5,4.5,0,0.057964588,0.05,0.15,0.15,0.00530524,0.053052399,0.25,2.1324635
110,2.5,0.83564927,0,0,0,4.5,4.5,0,0.08046244,0.05,0.15,0.15,0.003292115,0.032921148,0.25,2.5655695
110,3,0.57486747,0,0,0,4.5,4.5,0,0.029362704,0.05,0.15,0.15,0.002011328,0.020113282,0.25,1.8422148
110,4,0.51561486,0,0,0,4.5,4.5,0,0.0112226,0.05,0.15,0.15,0.001259197,0.012591967,0.25,1.693277
110,5,0.67785802,0,0,0,4.5,4.5,0,0.086235083,0.05,0.15,0.15,0.000875972,0.008759719,0.25,2.1178335
110,-10,0.6057946,0.038550605,0.70745974,-0.14786971,4.0789865,4.5,-0.007609655,-0.015972809,0.05,0.3,0.3,0.05,0.5,0.25,2.1460297
303,0.01,-0.06638987,0.16840092,0.96791997,-0.2218654,4.03,4.5,0,-0.26730674,0.035,0.22266219,0.20606449,0.001498438,0.014984381,0.25,1.8643692
303,0.025,-0.23650742,0.21239837,0.95264773,-0.21476909,4.44,4.5,0,-0.28938756,0.02,0.22775196,0.22997349,0.001332635,0.013326352,0.25,1.8828373
303,0.05,-0.5437157,0.18944166,0.73289448,-0.15892022,4.5,4.5,0,-0.28663735,0.02,0.4077409,0.31401798,0.000945838,0.009458383,0.25,1.2605534
303,0.075,-0.42587027,0.12485258,0.22503284,-0.019119386,4.7435262,4.5,0,-0.28109099,0.035,0.35684618,0.3494826,0.001763416,0.017634161,0.25,1.0887521
303,0.1,-0.15730443,0.085473504,-0.029340211,0.056518312,5.3837733,4.5,0,-0.29832691,0.05,0.31407003,0.35735999,0.005771484,0.057714844,0.25,1.2120773
303,0.125,-0.073945529,0.092642098,-0.10532147,0.063583895,6.3147385,4.5,0,-0.32093792,0.1,0.30091524,0.37209001,0.011780198,0.11780198,0.25,1.3568007
303,0.15,0.19746723,0.062913308,-0.070323516,0.046383856,6.913761,4.5,0,-0.31943614,0.1,0.3,0.36138014,0.017668795,0.17668795,0.25,1.5758782
303,0.175,0.41479428,0.036104219,-0.043228727,0.035070009,6.6171076,4.5,0,-0.31344737,0.1,0.3,0.35697846,0.024193101,0.24193101,0.25,1.7548532
303,0.2,0.63842467,0.002068186,0.017273813,0.016586604,5.6847362,4.5,0,-0.32144331,0.1,0.3,0.35944722,0.03085885,0.3085885,0.25,1.9091227
303,0.25,0.80281729,-0.011782229,0.088108938,-0.010258289,4.8819522,4.5,0,-0.28460397,0.1,0.3,0.34731534,0.03588812,0.3588812,0.25,2.1262552
303,0.3,0.77487215,0,0,0,4.5,4.5,0,-0.19585333,0.1,0.3,0.32879408,0.038374068,0.38374068,0.25,2.1700366
303,0.4,0.77801704,0,0,0,4.5,4.5,0,-0.12247954,0.1,0.3,0.3,0.036789193,0.36789193,0.25,2.1770271
303,0.5,0.77939148,0,0,0,4.5,4.5,0,-0.074684024,0.1,0.3,0.3,0.031420409,0.31420409,0.25,2.1800922
303,0.6,0.7898702,0,0,0,4.5,4.5,0,-0.041074456,0.1,0.3,0.3,0.027863097,0.27863097,0.25,2.2030911
