structural_system,Pd_inside|CS1,Pd_inside|CS2,Pd_inside|CS3,Pd_outside|CS1,Pd_outside|CS2,Pd_outside|CS3,Median_PGA_chd,beta_chd
RC1L,0.07995,0.07995,0.07995,0.026,0.026,0.026,0,0
RC1M,0.0615,0.0615,0.0615,0.02,0.02,0.02,0,0
RC1H,0.03075,0.03075,0.03075,0.01,0.01,0.01,0,0
RC2,0.07995,0.07995,0.07995,0.026,0.026,0.026,0,0
PC2,0.07995,0.07995,0.07995,0.026,0.026,0.026,0,0
RC3L,0.1353,0.1353,0.615,0.044,0.044,0.2,205.1753413,2.219838583
RC3M,0.06765,0.06765,0.3075,0.022,0.022,0.1,152.8874393,2.171494045
RC3H,0.033825,0.033825,0.15375,0.011,0.011,0.05,0,0
PC3L,0.1353,0.1353,0.615,0.044,0.044,0.2,205.1753413,2.219838583
PC3M,0.06765,0.06765,0.3075,0.022,0.022,0.1,152.8874393,2.171494045
PC3H,0.033825,0.033825,0.15375,0.011,0.011,0.05,0,0
W2,0.0063,0.0063,0.0063,0.006,0.006,0.006,0,0
W3,0.0063,0.0063,0.0063,0.006,0.006,0.006,369.8262144,2.313658364
S1L,0.0492,0.0492,0.0492,0.016,0.016,0.016,0,0
S1H,0.03075,0.03075,0.03075,0.01,0.01,0.01,0,0
S1M,0.01845,0.01845,0.01845,0.006,0.006,0.006,0,0
S2L,0.0492,0.0492,0.0492,0.016,0.016,0.016,0,0
S2H,0.03075,0.03075,0.03075,0.01,0.01,0.01,0,0
S2M,0.01845,0.01845,0.01845,0.006,0.006,0.006,0,0
S3,0.01845,0.01845,0.01845,0.006,0.006,0.006,0,0
URM1F_B,0.252,0.252,0.252,0.16,0.16,0.16,0,0
URM1F_HA,0.336,0.336,0.336,0.2,0.2,0.2,570.4541679,2.380330603
URM1F_HC,0.336,0.336,0.336,0.2,0.2,0.2,570.4541679,2.380330603
URM2L,0,0,0.42,0.033333333,0.066666667,0.5,152.8874393,2.171494045
URM3L,0.336,0.336,0.336,0.4,0.4,0.4,205.1753413,2.219838583
URM3M_U,0.02016,0.031584,0.336,0.03216,0.050384,0.536,152.8874393,2.171494045
URM3M_D,0.0252,0.0252,0.42,0.04,0.04,0.666666667,152.8874393,2.171494045
URM3M_B,0.00336,0.008736,0.336,0.0016,0.00416,0.16,964.9994174,2.458785977
URM4L,0.336,0.336,0.336,0.4,0.4,0.4,205.1753413,2.219838583
URM5L,0.21,0.21,0.42,0.25,0.25,0.5,205.1753413,2.219838583
URM6L,0.42,0.42,0.42,0.25,0.25,0.25,570.4541679,2.380330603
URM7L,0,0.0105,0.42,0.01,0.01,0.25,570.4541679,2.380330603
URM8L,0,0,0.42,0.06,0.1,0.25,570.4541679,2.380330603
URM9L,0.0105,0.021,0.42,0.00625,0.0125,0.5,261.1173594,2.258699621
URM10,0.42,0.42,0.42,0.25,0.25,0.25,0,0
