structural_system,T1,T2,b0,b1,b2,b3,sigma,DL_DS2,DL_DS3,DL_DS4,DL_CS1,DL_CS2,DL_CS3,Median_PGA_chf,beta_chf
RC1L,0,0,-1.4362,1.1945,0,0,0.4878,0.01829,0.02926,0.07315,0.1830,0.1830,0.1830,0,0
RC1M,0,0,-1.4344,0.9309,0,0,0.5192,0.03086,0.04915,0.12573,0.3050,0.3050,0.3050,0,0
RC1H,0,0,-1.4621,0.8012,0,0,0.6386,0.04389,0.07023,0.17557,0.4390,0.4390,0.4390,0,0
RC2,0,0,-1.4673,0.8919,0,0,0.5923,0.02600,0.04160,0.10400,0.2180,0.2180,0.2180,0,0
PC2,0,0,-1.4647,0.8555,0,0,0.5919,0.02600,0.04160,0.10400,0.2180,0.2180,0.2180,0,0
RC3L,0,0,-1.2656,1.2711,0,0,0.4780,0.03614,0.05648,0.12364,0.1236,0.1236,0.2260,0.5829,0.6888
RC3M,0,0,-1.3581,0.9317,0,0,0.4997,0.04843,0.07568,0.18019,0.1802,0.1802,0.3020,0.5829,0.6888
RC3H,0,0,-1.2603,0.8788,0,0,0.6489,0.07229,0.11295,0.27108,0.3624,0.3624,0.4520,0,0
PC3L,0,0,-1.8994,2.3379,0,0,0.5003,0.00575,0.02053,0.04721,0.0711,0.0711,0.1300,0.5829,0.6888
PC3M,0,0,-1.4717,1.9825,0,0,0.4645,0.00770,0.02750,0.06326,0.1032,0.1032,0.1730,0.5829,0.6888
PC3H,0,0,-1.0985,1.3387,0,0,0.3329,0.01149,0.04105,0.09442,0.2085,0.2085,0.2600,0,0
W2,0,0,-1.4292,1.2708,0,0,0.4691,0.01756,0.04335,0.13443,0.3290,0.3290,0.3290,0,0
W3,0,0,-2.3762,1.6944,0,0,0.5188,0.00880,0.02173,0.06738,0.1200,0.1200,0.1200,0.5829,0.6888
S1L,0,0,-1.0986,0.9527,0,0,0.6107,0.03009,0.04764,0.10156,0.4700,0.4700,0.4700,0,0
S1H,0,0,-1.1723,0.8431,0,0,0.7889,0.04012,0.06394,0.13792,0.6280,0.6280,0.6280,0,0
S1M,0,0,-1.2150,0.9286,0,0,0.8134,0.06018,0.09529,0.20061,0.9420,0.9420,0.9420,0,0
S2L,0,0,-1.4245,1.2735,0,0,0.4695,0.02194,0.03511,0.08778,0.2190,0.2190,0.2190,0,0
S2H,0,0,-1.4108,0.8605,0,0,0.5091,0.03703,0.05898,0.15088,0.3660,0.3660,0.3660,0,0
S2M,0,0,-1.3463,0.7775,0,0,0.6775,0.05705,0.09128,0.22819,0.5700,0.5700,0.5700,0,0
S3,0,0,-4.2905,1.0807,0,0,0.5736,0.01216,0.01938,0.04864,0.2950,0.2950,0.2950,0,0
URM1F_B,0,0,-1.9989,2.8145,0,0,0.9506,0.00129,0.00526,0.01363,0.0220,0.0220,0.0220,0,0
URM1F_HA,0,0,-4.4779,1.6047,0,0,0.8957,0.00130,0.00529,0.02265,0.0400,0.0400,0.0400,0.4124,0.7804
URM1F_HC,0,0,-3.0113,2.2825,0,0,1.0447,0.00165,0.00672,0.02536,0.0440,0.0440,0.0440,0.4124,0.7804
URM2L,0,0,-2.2151,1.4615,0,0,0.4385,0.00680,0.01640,0.02720,0.0380,0.0960,0.1230,0.4124,0.7804
URM3L,0,0,-2.4659,2.9555,0,0,1.2128,0.00209,0.00852,0.02976,0.0510,0.0510,0.0510,0.5829,0.6888
URM3M_U,0,0,-1.9877,2.2622,0,0,1.0038,0.00328,0.01339,0.01819,0.0230,0.1020,0.1310,0.5829,0.6888
URM3M_D,0,0,-1.8780,1.9630,0,0,0.6633,0.00568,0.01371,0.04536,0.0770,0.0770,0.0890,0.5829,0.6888
URM3M_B,0,0,-2.0238,2.8733,0,0,1.3290,0.00515,0.02101,0.04801,0.0750,0.1080,0.1440,0.5829,0.6888
URM4L,0,0,-1.7080,1.7950,0,0,0.7329,0.00188,0.00768,0.05334,0.0990,0.0990,0.0990,0.5829,0.6888
URM5L,0,0,-4.1046,2.1586,0,0,0.7378,0.00359,0.00866,0.00983,0.0110,0.0110,0.0170,0.4124,0.7804
URM6L,0,0,-4.2032,2.4657,0,0,0.8540,0.00343,0.00827,0.03013,0.0520,0.0520,0.0520,0.4124,0.7804
URM7L,0,0,-4.3854,2.3761,0,0,0.8642,0.00347,0.00800,0.00800,0.0080,0.0320,0.0560,0.5829,0.6888
URM8L,0,0,-3.6136,2.0366,0,0,0.6885,0.00200,0.00200,0.00200,0.0020,0.0020,0.0200,0.4124,0.7804
URM9L,0,0,-1.8753,1.4905,0,0,0.4475,0.00844,0.02037,0.03068,0.0410,0.1150,0.1540,0.4124,0.7804
URM10,0,0,-4.2032,2.4657,0,0,0.8540,0.00343,0.00827,0.03013,0.0520,0.0520,0.0520,0,0
