Zone,T,a0,a1,b0,b1,a2,b2,a3,Ma,Mb,Mref2,Rref,f2,f3,s1,s2,xl,xh,AFmin,AFmax
110,0.01,0.575041593,0.043654271,0.753155595,-0.176753992,0.032989466,-0.125817631,-0.049149784,6.5,5.1,3.2,10.25,-0.56431338,0.514663827,0.31929068,0.245612069,0.040022174,0.514663827,0.25,1.342375096
110,0.1,0.317889842,0.024153197,0.195430728,-0.039137231,0.03210373,-0.049800513,0.002780995,4.5,4.5,3.2,10.25,-1.233743142,0.553116573,0.45314558,0.401285875,0.024060089,0.553116573,0.25,1.553610297
110,0.2,0.763530485,0.000507942,0.117981481,-0.024219343,0.005836498,-0.020646268,0.000916992,4.5,4.5,3.2,10.25,-0.778476563,0.358818614,0.418777284,0.403201643,0.02610589,0.358818614,0.25,2.1200145
110,0.3,0.85490225,-0.000556848,0.082521669,-0.016536807,0.00159393,-0.008479855,-0.00046798,4.5,4.5,3.2,10.25,-0.488755626,0.288297231,0.397780451,0.374923115,0.03346674,0.288297231,0.25,2.320754848
110,0.4,0.843082143,6.62E-05,0.056215581,-0.009928948,0.002635229,-0.001379891,-0.000724441,4.5,4.5,3.2,10.25,-0.298446618,0.2516723,0.37721647,0.351205121,0.058300383,0.2516723,0.25,2.333072887
110,0.5,0.850780529,0.000741766,0.036355138,-0.005044871,0.001435486,0.000672494,-0.000570422,4.5,4.5,3.2,10.25,-0.284274554,0.227514124,0.351326901,0.332338038,0.055215596,0.227514124,0.25,2.357991428
110,0.6,0.870959477,0,0.023217238,-0.002085449,0,0.000936858,-0.00034335,4.5,4.5,3.2,10.25,-0.256507338,0.208483463,0.334913785,0.320688849,0.047517624,0.208483463,0.25,2.390635871
110,0.7,0.866933753,0,0.015109968,-0.000563248,0,0.00076595,-0.000176459,4.5,4.5,3.2,10.25,-0.16767678,0.19102996,0.327046348,0.314228214,0.057308988,0.19102996,0.25,2.381476971
110,0.85,0.902642454,0,0.009313306,0.000290334,0,0.000432401,-4.41E-05,4.5,4.5,3.2,10.25,-0.10647342,0.16374801,0.311768809,0.300714649,0.049124403,0.16374801,0.25,2.4675915
110,1,0.877805368,0,0.008710597,0.000443647,0,0.000198518,8.10E-06,4.5,4.5,3.2,10.25,-0.059429553,0.135108664,0.291832966,0.288002278,0.040532599,0.135108664,0.25,2.406466515
303,0.01,0.895905778,-0.007729878,0.828592349,-0.185797266,0.047805199,-0.147787734,-0.042233956,6.5,5.1,3.2,10.25,-0.527097062,0.43153377,0.243193381,0.222562367,0.035546395,0.43153377,0.25,1.472680291
303,0.1,0.426686151,0.057945621,0.286978568,-0.0453364,0.018953469,-0.087888786,0.00358994,4.5,5,3.2,10.25,-1.415812972,0.566719325,0.37836256,0.340993645,0.021241531,0.566719325,0.25,1.562891777
303,0.2,0.875282435,0.03507903,0.216619792,-0.037833522,-0.000266697,-0.047714227,-0.001552902,4.5,5,3.2,10.25,-0.746694477,0.353105474,0.348322721,0.378384618,0.023664015,0.353105474,0.25,2.362757514
303,0.3,0.95942885,0.013881608,0.113287953,-0.014765643,0.019614059,-0.021081057,-0.000742214,4.5,5,3.2,10.25,-0.46092636,0.283519131,0.353656671,0.365151693,0.036915067,0.283519131,0.25,2.738588638
303,0.4,0.935602595,0.004910376,0.049149002,-0.00277171,0.018354865,-0.008239144,-0.00023552,4.5,5,3.2,10.25,-0.322610063,0.24951935,0.356923311,0.334892561,0.051843204,0.24951935,0.25,2.679807332
303,0.5,0.921391454,3.01E-06,0.01810075,0.000949226,0.005517222,-0.002448785,-6.54E-06,4.5,5,3.2,10.25,-0.217062997,0.224043975,0.345991191,0.321945912,0.067213193,0.224043975,0.25,2.536181744
303,0.6,0.917868067,0,0.006463347,0.001566241,0,-0.000122985,6.06E-05,4.5,5,3.2,10.25,-0.166935752,0.200504868,0.33232897,0.321416564,0.06015146,0.200504868,0.25,2.503260462
303,0.7,0.922365156,0,0.003965526,0.001336849,0,0.000659091,6.56E-05,4.5,5,3.2,10.25,-0.131174493,0.177021884,0.324123328,0.325231994,0.053106565,0.177021884,0.25,2.520962243
303,0.85,0.933167094,0,0.005907116,0.000784704,0,0.000776796,4.56E-05,4.5,5,3.2,10.25,-0.069323599,0.142157966,0.313035112,0.325030773,0.04264739,0.142157966,0.25,2.54920961
303,1,0.897035603,0,0.009090884,0.000375575,0,0.000563118,2.53E-05,4.5,5,3.2,10.25,0.001158732,0.112938904,0.300298784,0.31986671,0.033881671,0.112938904,0.25,2.459773345
306,0.01,0.61807997,0.070792423,0.699141545,-0.157469424,0.019600704,-0.121804904,-0.047534383,6.5,5.2,3.2,10.25,-0.469193716,0.323370904,0.223371986,0.218444191,0.03146212,0.323370904,0.25,1.465319882
306,0.1,0.423280131,0.035989749,0.162082439,-0.028032484,0.020447611,-0.038855801,-0.001307624,4.5,4.9,3.2,10.25,-1.354143535,0.556332829,0.33117932,0.353774662,0.021937423,0.556332829,0.25,1.68033724
306,0.2,0.788698488,0.01710819,0.123091942,-0.018799694,0.011624751,-0.021907187,-0.000329122,4.5,4.9,3.2,10.25,-0.802750073,0.359463459,0.318501622,0.33501447,0.024873004,0.359463459,0.25,2.295314097
306,0.3,0.928587992,0.013051356,0.100015052,-0.014939592,0.000411224,-0.018027688,-0.00086965,4.5,4.9,3.2,10.25,-0.507848334,0.287552162,0.31153214,0.323479434,0.030230843,0.287552162,0.25,2.532150273
306,0.4,0.939652865,0.007010814,0.073406848,-0.009299869,-0.000109493,-0.010217175,-0.000645912,4.5,4.9,3.2,10.25,-0.30428726,0.250583625,0.301723507,0.31099155,0.055097912,0.250583625,0.25,2.552079194
306,0.5,0.966239575,0.002972801,0.052708449,-0.00486197,-2.62E-05,-0.004679115,-0.000347911,4.5,4.9,3.2,10.25,-0.26657739,0.226324418,0.298882486,0.302796167,0.057001341,0.226324418,0.25,2.622029463
306,0.6,1.004822081,0,0.038879253,-0.002092582,0,-0.001659017,-0.000153974,4.5,4.9,3.2,10.25,-0.258876923,0.207578979,0.300950408,0.300681005,0.051614396,0.207578979,0.25,2.717296478
306,0.7,1.011937891,0,0.030231814,-0.000629587,0,-0.000233807,-4.95E-05,4.5,4.9,3.2,10.25,-0.192667244,0.191046343,0.30704761,0.303304056,0.057313903,0.191046343,0.25,2.748703467
306,0.85,0.9874102,0,0.022859534,0.000220647,0,0.000466085,1.28E-05,4.5,4.9,3.2,10.25,-0.070556536,0.166589578,0.308165136,0.302541712,0.049976873,0.166589578,0.25,2.687961675
306,1,0.955818121,0,0.018216362,0.000395206,0,0.000519118,2.66E-05,4.5,4.9,3.2,10.25,-0.04003529,0.142323911,0.297142368,0.296890774,0.042697173,0.142323911,0.25,2.604862161
308,0.01,0.353191542,0.093627975,0.655637836,-0.152252476,0.011516182,-0.110009221,-0.03986026,6.5,5.3,3.2,10.25,-0.557493849,0.422551199,0.209034833,0.208624917,0.034775738,0.422551199,0.25,1.230745153
308,0.1,0.277308394,0.046969008,0.124770174,-0.018360544,0.016084598,-0.036632818,0.000220094,4.5,5.4,3.2,10.25,-1.322893726,0.557597044,0.327209143,0.34244346,0.02284449,0.557597044,0.25,1.409028356
308,0.2,0.673657964,0.014970649,0.08656864,-0.018774828,-0.003620848,-0.007859992,0.001481742,4.5,5.4,3.2,10.25,-0.731344631,0.358921609,0.293171046,0.31798797,0.026165188,0.358921609,0.25,1.990435653
308,0.3,0.757368459,0.008916076,0.063797852,-0.013818944,0.000949861,-0.00496324,0.00064617,4.5,5.4,3.2,10.25,-0.473029612,0.28871828,0.290212659,0.301683224,0.033370852,0.28871828,0.25,2.168415255
308,0.4,0.73572952,0.003707591,0.045998534,-0.008130125,-0.001977034,-0.002936071,4.94E-05,4.5,5.4,3.2,10.25,-0.335745628,0.251166748,0.286802521,0.296300398,0.045182366,0.251166748,0.25,2.076299428
308,0.5,0.759240259,0.002436106,0.034796705,-0.004055834,4.23E-05,-0.001527158,-0.000137605,4.5,5.4,3.2,10.25,-0.301921522,0.224249353,0.28417209,0.288976029,0.045922621,0.224249353,0.25,2.14184462
308,0.6,0.777718156,0,0.027956034,-0.001637918,0,-0.000667878,-0.00014028,4.5,5.4,3.2,10.25,-0.27345487,0.201213345,0.286591922,0.287340185,0.04439993,0.201213345,0.25,2.168849225
308,0.7,0.791639313,0,0.023545093,-0.000412262,0,-0.000208861,-0.000102811,4.5,5.4,3.2,10.25,-0.218417498,0.179660727,0.292886411,0.292682721,0.051406248,0.179660727,0.25,2.204313484
308,0.85,0.834369575,0,0.019728653,0.000261074,0,6.17E-05,-5.17E-05,4.5,5.4,3.2,10.25,-0.140989093,0.149278925,0.299693409,0.29756274,0.044783677,0.149278925,0.25,2.303799562
308,1,0.831219086,0,0.018657872,0.000371799,0,0.000119993,-2.05E-05,4.5,5.4,3.2,10.25,-0.066300204,0.124938261,0.298261862,0.294753017,0.037481478,0.124938261,0.25,2.297349688
309,0.01,0.472427388,0.071566762,0.67699643,-0.15694804,0.012008014,-0.118469489,-0.042240387,6.5,5.2,3.2,10.25,-0.547330272,0.452554416,0.229414127,0.214693451,0.036423864,0.452554416,0.25,1.271687666
309,0.1,0.334739563,0.049760677,0.105035589,-0.016675005,0.009232347,-0.022564638,0.000857634,4.5,5.9,3.2,10.25,-1.280414614,0.565874605,0.33646601,0.359342528,0.023427082,0.565874605,0.25,1.497739463
309,0.2,0.688333176,0.018765495,0.08101433,-0.016684454,-0.004112246,-0.008357978,0.000973789,4.5,5.9,3.2,10.25,-0.670238727,0.357094939,0.314294447,0.330548887,0.029977678,0.357094939,0.25,1.999101172
309,0.3,0.761512494,0.016285104,0.063016935,-0.013696506,-0.009046084,-0.004568995,0.001071406,4.5,5.9,3.2,10.25,-0.410661868,0.288399425,0.310336314,0.316947293,0.038746585,0.288399425,0.25,2.155649661
309,0.4,0.75912733,0.00755679,0.045824668,-0.008684185,-0.00374813,-0.00228199,0.000708943,4.5,5.9,3.2,10.25,-0.279595123,0.251322074,0.304737503,0.309323873,0.058479746,0.251322074,0.25,2.144043735
309,0.5,0.788561356,0.003394138,0.032475925,-0.004580848,-0.001689477,-0.001066783,0.000382243,4.5,5.9,3.2,10.25,-0.252894993,0.224536542,0.30153882,0.30428511,0.057328725,0.224536542,0.25,2.203217846
309,0.6,0.817377669,0,0.023056964,-0.001980161,0,-0.000412331,0.000172892,4.5,5.9,3.2,10.25,-0.231243374,0.201500167,0.302854909,0.304123345,0.05707999,0.201500167,0.25,2.258260718
309,0.7,0.827598174,0,0.016792905,-0.000602174,0,-8.91E-05,5.83E-05,4.5,5.9,3.2,10.25,-0.183306722,0.179834557,0.306723071,0.308245164,0.053950367,0.179834557,0.25,2.286486405
309,0.85,0.833534491,0,0.011588238,0.000201758,0,8.19E-05,-1.14E-05,4.5,5.9,3.2,10.25,-0.101261803,0.149031329,0.305426515,0.308547113,0.044709399,0.149031329,0.25,2.302759214
309,1,0.802346578,0,0.009825768,0.000369002,0,0.000105019,-2.78E-05,4.5,5.9,3.2,10.25,-0.035518271,0.123957504,0.296050874,0.302160589,0.037187251,0.123957504,0.25,2.232385402
310,0.01,0.413609725,0.060592511,0.699663028,-0.16288262,0.020269054,-0.120802547,-0.045210107,6.5,5.1,3.2,10.25,-0.604692222,0.582357975,0.21452841,0.209021236,0.041882047,0.582357975,0.25,1.208542985
310,0.1,0.303996421,0.032906082,0.14346694,-0.026680689,0.009346894,-0.031444435,0.000408478,4.5,5,3.2,10.25,-1.244631736,0.564027366,0.32656122,0.345738833,0.024248615,0.564027366,0.25,1.443281472
310,0.2,0.591907416,0.012937464,0.090762275,-0.018338943,0.001240432,-0.006668081,0.002845544,4.5,5,3.2,10.25,-0.626607626,0.356446538,0.317078736,0.324960706,0.032554005,0.356446538,0.25,1.884446619
310,0.3,0.678668545,0.008674666,0.067787917,-0.014949737,-6.83E-05,-0.001095271,0.00215571,4.5,5,3.2,10.25,-0.385902385,0.28636107,0.30337055,0.310539704,0.041658943,0.28636107,0.25,2.044884952
310,0.4,0.700797813,0.00467433,0.050398746,-0.009519088,0.001127997,0.000124088,0.001188414,4.5,5,3.2,10.25,-0.266033093,0.249170166,0.295343516,0.301861421,0.05717602,0.249170166,0.25,2.067970818
310,0.5,0.719396916,0.002719425,0.03759295,-0.005067315,-0.000208846,0.000413565,0.000543035,4.5,5,3.2,10.25,-0.21448942,0.225810936,0.29044466,0.295512971,0.067533754,0.225810936,0.25,2.080169536
310,0.6,0.753543965,0,0.028694885,-0.002222918,0,0.000367324,0.000193015,4.5,5,3.2,10.25,-0.206576278,0.210107315,0.290640197,0.292291747,0.062824058,0.210107315,0.25,2.12795588
310,0.7,0.794625131,0,0.022915067,-0.000700171,0,0.000252077,2.76E-05,4.5,5,3.2,10.25,-0.207546223,0.198760607,0.294837149,0.292240536,0.059628182,0.198760607,0.25,2.215528215
310,0.85,0.827829757,0,0.018574291,0.000199966,0,0.000116605,-5.38E-05,4.5,5,3.2,10.25,-0.183532549,0.184537527,0.29388333,0.289310768,0.055361258,0.184537527,0.25,2.288903816
310,1,0.794132685,0,0.017828895,0.00039549,0,4.04E-05,-6.01E-05,4.5,5,3.2,10.25,-0.102584319,0.170274528,0.287908017,0.287048833,0.051082358,0.170274528,0.25,2.212493466
311,0.01,0.608599884,0.072691871,0.728443045,-0.159293416,0.018550598,-0.127338391,-0.038601169,6.5,5.3,3.2,10.25,-0.379605574,0.284603203,0.24430976,0.223536062,0.03432187,0.284603203,0.25,1.384542882
311,0.1,0.297643836,0.062437428,0.191456104,-0.02973429,0.018142622,-0.046734775,-0.003234029,4.5,5.4,3.2,10.25,-1.223727518,0.546384825,0.370047697,0.346414442,0.024494704,0.546384825,0.25,1.458694506
311,0.2,0.730974697,0.025314808,0.117506793,-0.019693941,0.001558144,-0.01813055,0.000527019,4.5,5.4,3.2,10.25,-0.748226978,0.361840163,0.327593037,0.344713851,0.026838246,0.361840163,0.25,2.122659748
311,0.3,0.863432151,0.019918659,0.085323478,-0.015548889,-0.000533195,-0.01063937,0.001056437,4.5,5.4,3.2,10.25,-0.442371271,0.289649231,0.323184739,0.331459245,0.037044651,0.289649231,0.25,2.444371757
311,0.4,0.906950681,0.011032063,0.061101171,-0.009940645,6.48E-07,-0.006214576,0.000645594,4.5,5.4,3.2,10.25,-0.281822122,0.252169696,0.312075684,0.317484728,0.057541942,0.252169696,0.25,2.517440624
311,0.5,0.947589343,0.005261469,0.042745287,-0.005340652,-0.001057885,-0.00321695,0.000284578,4.5,5.4,3.2,10.25,-0.248010139,0.225466385,0.30520128,0.309531228,0.065247358,0.225466385,0.25,2.587720772
311,0.6,0.995285417,0,0.029837136,-0.002369806,0,-0.001374409,9.06E-05,4.5,5.4,3.2,10.25,-0.265801081,0.201904482,0.304566901,0.308211253,0.058192406,0.201904482,0.25,2.687963327
311,0.7,1.015667001,0,0.021582788,-0.000766231,0,-0.000405916,3.44E-06,4.5,5.4,3.2,10.25,-0.24061245,0.178693099,0.307878781,0.31241942,0.046979459,0.178693099,0.25,2.755751312
311,0.85,0.954486066,0,0.015036362,0.00019146,0,0.000153256,-3.57E-05,4.5,5.4,3.2,10.25,-0.098290458,0.143586228,0.306256076,0.315649152,0.043075869,0.143586228,0.25,2.599066899
311,1,0.876599609,0,0.012088512,0.000406272,0,0.000265464,-3.56E-05,4.5,5.4,3.2,10.25,0.007791094,0.112485802,0.295609554,0.310693188,0.033745741,0.112485802,0.25,2.424897769
312,0.01,0.694037473,0.128600969,0.876554369,-0.185043037,0.007803072,-0.175511463,-0.045188746,6,5.2,3.2,10.25,-0.392426327,0.312599052,0.254239536,0.234368199,0.035908612,0.312599052,0.25,1.565145697
