periods,m0_level1,m1_level1,m2_level1,m3_level1,m4_level1,r0a_level1,r0b_level1,r0c_level1,r0d_level1,r1a_level1,r1b_level1,r1c_level1,r1d_level1,r2a_level1,r2b_level1,r2c_level1,r2d_level1,r3a_level1,r3b_level1,r3c_level1,r3d_level1,m0_level2,m1_level2,m2_level2,m3_level2,m4_level2,r0a_level2,r0b_level2,r0c_level2,r0d_level2,r1a_level2,r1b_level2,r1c_level2,r1d_level2,r2a_level2,r2b_level2,r2c_level2,r2d_level2,r3a_level2,r3b_level2,r3c_level2,r3d_level2,m0_level3,m1_level3,m2_level3,m3_level3,m4_level3,r0a_level3,r0b_level3,r0c_level3,r0d_level3,r1a_level3,r1b_level3,r1c_level3,r1d_level3,r2a_level3,r2b_level3,r2c_level3,r2d_level3,r3a_level3,r3b_level3,r3c_level3,r3d_level3,m0_level4,m1_level4,m2_level4,m3_level4,m4_level4,r0a_level4,r0b_level4,r0c_level4,r0d_level4,r1a_level4,r1b_level4,r1c_level4,r1d_level4,r2a_level4,r2b_level4,r2c_level4,r2d_level4,r3a_level4,r3b_level4,r3c_level4,r3d_level4
0.01,4.579222018,0.193935416,-0.185717266,0.540733805,-0.084191027,-2.423959905,0.384466538,3.046660226,0.222706253,-1.770120302,0.202479702,1.937974345,0.240665177,-2.183809449,0.346813992,1.248067457,0.782029522,-2.90628601,0.785406092,1.561021752,2.479230924,4.721330016,0.201802001,-0.1982345,0.524461768,-0.08291792,-2.378536281,0.373784254,2.857899613,0.241952027,-1.736474564,0.206647772,1.893521407,0.248813961,-2.155815468,0.357160883,1.27382786,0.721002396,-2.953361,0.794662518,1.619292086,2.480587368,4.954904055,0.444601466,-0.14031187,0.594982209,-0.09972388,-2.39863123,0.351520602,2.789147234,0.253656422,-1.717482186,0.214613177,2.027296533,0.220961226,-2.175435845,0.348435688,1.276303835,0.753716629,-2.953594636,0.795259521,1.611005156,2.423473644,5.125434503,0.45379457,-0.152854064,0.601519172,-0.102357258,-2.370152928,0.341463269,2.676595352,0.268399589,-1.688936626,0.225716913,2.041187005,0.217769311,-2.158103534,0.359526046,1.295219361,0.724965708,-3.005480427,0.802320682,1.672402168,2.453995902
0.1,4.777655714,0.096151828,-0.33990808,0.551520679,-0.107538094,-1.988627224,0.173140926,2.433403746,0.25681791,-1.396207109,0.08898325,1.842524572,0.197304087,-1.962949839,0.009032407,1.355329224,0.53014778,-3.579788735,0.380881233,2.295085773,2.691579113,5.018476031,0.072968308,-0.370846032,0.550866926,-0.105556339,-2.002272548,0.160834187,2.369458544,0.270070629,-1.409972079,0.083038379,1.783801919,0.207187792,-1.960129855,0.013638846,1.369173797,0.514716456,-3.614843217,0.366787906,2.324776671,2.705572207,5.251238686,0.313255363,-0.31354529,0.611254184,-0.117813565,-2.026345071,0.136610178,2.242953392,0.298711464,-1.386506901,0.099113752,2.428357677,0.140380921,-1.978222546,0.004691349,1.351854288,0.546905116,-3.611959051,0.368277496,2.318892924,2.688714708,5.499440855,0.294766372,-0.344931085,0.630192854,-0.121207957,-2.040410776,0.129792669,2.236444806,0.303372434,-1.392734138,0.100895701,2.428936453,0.141596171,-1.971125603,0.008899525,1.335631439,0.545958155,-3.6527785,0.352538389,2.358693567,2.682318046
0.2,4.27963523,0.094483894,-0.474491385,0.598479954,-0.11962772,-1.835442131,0.155767673,2.149865068,0.280342227,-1.15928999,0.10910402,1.342990439,0.215130837,-1.58602815,0.037542578,1.21016626,0.360576037,-2.988096171,0.194997096,1.78142965,2.532652814,4.531060841,0.122966676,-0.494493624,0.606326484,-0.121288769,-1.828072273,0.164464472,2.185433571,0.270353741,-1.179435423,0.089292127,1.263823368,0.243879056,-1.57727052,0.047394378,1.242314201,0.336700152,-3.004580715,0.189951186,1.793812053,2.534175511,4.758891515,0.357363385,-0.43869899,0.669235875,-0.133785027,-1.845065488,0.140513491,2.060251767,0.298086488,-1.178903713,0.106340541,1.401597904,0.214981232,-1.583236311,0.038548307,1.173743252,0.367323213,-3.008071646,0.188591442,1.795642099,2.506437919,5.019352678,0.404532201,-0.451779557,0.692580995,-0.139757492,-1.842160765,0.158673021,2.098081649,0.288343817,-1.180613397,0.095631383,1.455472257,0.2038519,-1.584885278,0.046285772,1.170236781,0.371656248,-3.020348716,0.186246255,1.804042213,2.51852354
0.3,4.045259698,0.276634026,-0.502186415,0.657191575,-0.13572528,-1.724350732,0.172189446,2.198793743,0.248955797,-0.972626635,0.191743872,NA,NA,-1.453114554,0.006801542,1.255529046,0.284627545,-2.648826857,0.160706046,1.472572705,2.439394152,4.303881338,0.338988963,-0.509942974,0.661202654,-0.136687033,-1.731767524,0.180097317,2.241065406,0.244072216,-0.991407836,0.19732246,NA,NA,-1.460163585,0.001579829,1.264652171,0.286935491,-2.657531334,0.160978751,1.476815858,2.49159389,4.523997232,0.579804671,-0.45082492,0.734515645,-0.152725263,-1.733171503,0.164738815,2.109507856,0.263461345,-0.986058418,0.196311768,NA,NA,-1.460739058,0.008343556,1.262876314,0.284569245,-2.662102165,0.155113322,1.477554588,2.447808799,4.781829022,0.673809405,-0.447663566,0.76159176,-0.159064315,-1.728339461,0.185019365,2.201358277,0.247041876,-0.990032706,0.194820546,NA,NA,-1.463017212,0.011461101,1.241115672,0.293497537,-2.666410475,0.153251769,1.479027597,2.521869339
0.4,3.860713386,0.486410647,-0.490047571,0.699203191,-0.145649541,-1.63882891,0.218253345,2.33340614,0.21232168,-0.932630842,0.182280082,NA,NA,-1.358749935,0.017805534,1.342118101,0.229197809,-2.435655194,0.1418319,1.273728454,2.523187557,4.114750373,0.592766166,-0.480827566,0.714115596,-0.15039686,-1.635214285,0.238766082,2.477742209,0.195798638,-0.928150625,0.181398919,NA,NA,-1.383070923,0.015038232,1.373919255,0.230808421,-2.43783422,0.142719358,1.275426066,2.599848275,4.320371755,0.818895642,-0.425681314,0.797945102,-0.169167653,-1.644276637,0.214578553,2.237167911,0.2246567,-0.944051781,0.18539516,NA,NA,-1.361022784,0.020510777,1.304296879,0.235868379,-2.448737141,0.141142534,1.281319534,2.511525434,4.57683822,0.940530985,-0.411401573,0.829721011,-0.1768889,-1.634160649,0.233715689,2.398819847,0.202492168,-0.953243575,0.189382355,NA,NA,-1.372876758,0.021420443,1.269413668,0.249304281,-2.463785391,0.133263524,1.294213155,2.599757003
0.5,3.706901679,0.707270646,-0.457781175,0.747995371,-0.156934886,-1.558730759,0.261895803,2.582635077,0.173919742,-0.900997436,0.175367654,NA,NA,-1.29392799,0.023767348,1.534514259,0.177171219,-2.298141442,0.135382665,1.151452812,2.579184067,3.956539018,0.825399663,-0.442858693,0.765579165,-0.161944534,-1.57322712,0.276269545,2.717331165,0.166299837,-0.897751129,0.17323015,NA,NA,-1.311598469,0.024128486,1.591197886,0.17622826,-2.302892604,0.129759309,1.146632413,2.78009191,4.154844767,1.043219987,-0.389994176,0.857649559,-0.183305601,-1.574639324,0.250984297,2.449137472,0.188078111,-0.913697795,0.177721292,NA,NA,-1.29971496,0.032097621,1.381533539,0.202587012,-2.311077422,0.129442846,1.15495014,2.558077564,4.396540297,1.184879421,-0.366385022,0.903961708,-0.19427638,-1.573553059,0.267635679,2.644294867,0.170486286,-0.910592685,0.178036541,NA,NA,-1.311198391,0.035358947,1.369011481,0.208546803,-2.318514073,0.125549415,1.159534911,2.749316526
0.6,3.553236601,0.903956558,-0.422569728,0.794902183,-0.169561005,-1.552802823,0.245774016,3.247730376,0.135838333,-0.878079176,0.17208353,NA,NA,-1.129603275,0.178898131,NA,NA,-2.253413661,0.046489809,1.127693841,2.252312085,3.797974038,1.023519957,-0.406409248,0.812344775,-0.17330777,-1.574433592,0.251188092,3.199461129,0.141329662,-0.88420975,0.172132009,NA,NA,-1.138613216,0.182862942,NA,NA,-2.268672204,0.039115231,1.134874833,2.357018298,3.982050881,1.237743084,-0.352171889,0.920601406,-0.199371296,-1.572117471,0.237358672,2.709878816,0.170023106,-0.888287418,0.173314834,NA,NA,-1.134366631,0.179514324,NA,NA,-2.270638279,0.04729359,1.139419065,2.199743591,4.213400612,1.383516385,-0.325775162,0.975994235,-0.212288478,-1.578758957,0.244158657,2.787465786,0.164309786,-0.888625428,0.176984782,NA,NA,-1.146120544,0.182871248,NA,NA,-2.275617008,0.045076589,1.138943408,2.358223551
0.7,3.427749289,1.089980648,-0.384500447,0.845152456,-0.180100124,-1.509603077,0.275799132,4.002231398,0.104239812,-0.85506015,0.16608343,NA,NA,-1.103417721,0.174210453,NA,NA,-2.170254246,0.050071593,1.0427321,2.432710443,3.661064532,1.204533134,-0.368132032,0.873912791,-0.186828336,-1.539339098,0.272334709,3.393239634,0.128625741,-0.868463386,0.16831684,NA,NA,-1.116526929,0.180351356,NA,NA,-2.185927227,0.038873305,1.053178894,2.573419989,3.832513019,1.41295976,-0.314085321,0.995353277,-0.216424498,-1.54187455,0.262316089,2.768942226,0.161242967,-0.867418375,0.170316742,NA,NA,-1.11059414,0.174826762,NA,NA,-2.174792982,0.052662678,1.048929597,2.314411375,4.052837662,1.560050532,-0.285477649,1.059141971,-0.2309045,-1.546900108,0.268693564,2.781474375,0.160180724,-0.873012932,0.174162442,NA,NA,-1.117112519,0.176387427,NA,NA,-2.181016256,0.049477441,1.052276259,2.393574376
0.85,3.285075829,1.327771202,-0.334483018,0.934995426,-0.199565019,-1.46113189,0.30279037,6.534225041,0.060191128,-0.828564708,0.159783043,NA,NA,-1.065009624,0.165097117,NA,NA,-2.06478873,0.046223142,0.9423713,2.707897269,3.502723778,1.433115114,-0.319134729,0.979555992,-0.210342034,-1.497165812,0.290595062,3.835580554,0.108576064,-0.846937666,0.165199086,NA,NA,-1.080941493,0.172590738,NA,NA,-2.080026945,0.039799103,0.951683416,2.913038308,3.659694248,1.642363336,-0.262765671,1.112134993,-0.242499359,-1.501023523,0.28652634,2.885766545,0.14870925,-0.83374835,0.161355766,NA,NA,-1.07717317,0.167502219,NA,NA,-2.057511222,0.058437582,0.938843455,2.489327496,3.859286998,1.772373506,-0.237371463,1.190676964,-0.259446225,-1.503808884,0.28828237,2.848887634,0.150822685,-0.848433473,0.167335751,NA,NA,-1.08395227,0.168135837,NA,NA,-2.072923781,0.054941016,0.960508069,2.364973143
1,3.132266996,1.515743686,-0.29167412,1.015777683,-0.216151353,-1.429869314,0.322731764,71.05578955,0.005264575,-0.813628099,0.15765979,NA,NA,-1.035782291,0.156108969,NA,NA,-1.988736305,0.054793187,0.879388035,2.725965759,3.334091295,1.620822405,-0.273771483,1.0782384,-0.231715418,-1.466257893,0.311681307,4.179729937,0.09689681,-0.832964936,0.162640594,NA,NA,-1.050612099,0.163670848,NA,NA,-2.00170447,0.047244818,0.88856878,2.959782307,3.473151173,1.812177248,-0.222105794,1.223860505,-0.266671849,-1.471601104,0.305774784,2.901747393,0.144603914,-0.816749737,0.156677266,NA,NA,-1.051373079,0.162733884,NA,NA,-1.974121942,0.064468052,0.863354066,2.659524902,3.659686779,1.932007563,-0.198479574,1.31549845,-0.28697212,-1.476457937,0.305080441,2.852086887,0.147730117,-0.836826958,0.164061365,NA,NA,-1.05460986,0.161992012,NA,NA,-1.988474737,0.062377511,0.885203189,2.490816508
