x,y
245652.04,610612.48
245662.5,610612.48
245687.5,610637.52
245712.5,610662.48
245737.5,610662.48
245762.5,610662.48
245787.5,610662.48
245812.5,610662.48
245837.5,610687.52
245862.5,610687.52
245887.5,610687.52
245912.5,610687.52
245937.5,610712.48
245962.5,610737.52
245987.5,610762.48
246012.5,610787.52
246037.5,610812.48
246062.5,610812.48
246087.5,610837.52
246112.5,610837.52
246137.5,610837.52
246162.5,610837.52
246187.5,610837.52
246212.5,610837.52
246237.5,610837.52
246262.5,610862.48
246287.5,610862.48
246312.5,610862.48
246337.5,610862.48
246362.5,610862.48
246387.5,610862.48
246412.5,610862.48
246437.5,610862.48
246462.5,610862.48
246487.5,610837.52
246512.5,610837.52
246537.5,610812.48
246562.5,610812.48
246587.5,610812.48
246612.5,610812.48
246637.5,610812.48
246662.5,610812.48
246687.5,610812.48
246712.5,610812.48
246737.5,610812.48
246762.5,610787.52
246787.5,610787.52
246812.5,610787.52
246837.5,610762.48
246862.5,610762.48
246887.5,610762.48
246912.5,610762.48
246937.5,610762.48
246962.5,610762.48
246987.5,610762.48
247012.5,610762.48
247037.5,610762.48
247062.5,610762.48
247087.5,610762.48
247112.5,610762.48
247137.5,610737.52
247162.5,610737.52
247187.5,610737.52
247212.5,610737.52
247237.5,610712.48
247262.5,610712.48
247287.5,610712.48
247312.5,610712.48
247337.5,610687.52
247362.5,610687.52
247387.5,610687.52
247412.5,610687.52
247437.5,610687.52
247462.5,610687.52
247487.5,610687.52
247512.5,610687.52
247537.5,610687.52
247562.5,610687.52
247587.5,610687.52
247612.5,610687.52
247637.5,610662.48
247662.5,610662.48
247687.5,610637.52
247712.5,610637.52
247737.5,610637.52
247762.5,610612.48
247787.5,610612.48
247812.5,610612.48
247837.5,610612.48
247862.5,610612.48
247887.5,610612.48
247912.5,610612.48
247937.5,610612.48
247962.5,610587.52
247987.5,610587.52
248012.5,610587.52
248037.5,610587.52
248062.5,610587.52
248087.5,610562.48
248112.5,610562.48
248137.5,610562.48
248162.5,610537.52
248187.5,610537.52
248212.5,610537.52
