x,y
4.367606640625000000e+04,3.745864375000000000e+05
4.302686751087270386e+04,3.746776128004086204e+05
4.276603339035318641e+04,3.746740631425277097e+05
4.244169921875000000e+04,3.746710000000000000e+05
4.237084375000000000e+04,3.746422500000000000e+05
4.232581640625000000e+04,3.746239375000000000e+05
4.231930597255544853e+04,3.744964779539404553e+05
4.232963281250000000e+04,3.741526250000000000e+05
4.235501953125000000e+04,3.739686250000000000e+05
4.238227734375000000e+04,3.731577500000000000e+05
4.227175390625000000e+04,3.731460312500000000e+05
4.221099218750000000e+04,3.731554062500000000e+05
4.210966015625000000e+04,3.731729687500000000e+05
4.153742251752772427e+04,3.734645710614126874e+05
4.153660329222853761e+04,3.735265623921302031e+05
4.128583839700819954e+04,3.736470338201108971e+05
4.129343139809546847e+04,3.738561723047576961e+05
4.132041107902408112e+04,3.739930650442512706e+05
4.139584171603182040e+04,3.740746374165790621e+05
4.150588141684185393e+04,3.741945717039404553e+05
4.158002006317502673e+04,3.743003700767658884e+05
4.158443551711548207e+04,3.744080447346467990e+05
4.150515212676229567e+04,3.744606753004086204e+05
4.121607421875000000e+04,3.744853437500000000e+05
4.100419071263862133e+04,3.744941267105954466e+05
4.090820168247589027e+04,3.745040047062463709e+05
4.082973721318225580e+04,3.745020014936077641e+05
4.075771896698769706e+04,3.745223728554291301e+05
4.065920350367404899e+04,3.745450218290718622e+05
4.056297052011450432e+04,3.745500389518972952e+05
4.037565266712271114e+04,3.745995609979568399e+05
4.017138762934907572e+04,3.746034133093695855e+05
4.003863976970226213e+04,3.746147116821950767e+05
3.989719943152001360e+04,3.745937728971395991e+05
3.960261204727821314e+04,3.746008441755400272e+05
3.961192449619455147e+04,3.746706194342382369e+05
3.951137890625000000e+04,3.746996250000000000e+05
3.929969531250000000e+04,3.746366250000000000e+05
3.920588281250000000e+04,3.746809687500000000e+05
3.877537890625000000e+04,3.747235625000000000e+05
3.854964062500000000e+04,3.749088125000000000e+05
3.852141015625000000e+04,3.750000000000000000e+05
3.849798437500000000e+04,3.750756562500000000e+05
3.832639843750000000e+04,3.752655000000000000e+05
3.826865625000000000e+04,3.754552500000000000e+05
3.815540625000000000e+04,3.755696562500000000e+05
3.756196875000000000e+04,3.759530312500000000e+05
3.735601171875000000e+04,3.760785000000000000e+05
3.710849218750000000e+04,3.762771562500000000e+05
3.709298437500000000e+04,3.764809375000000000e+05
3.691901953125000000e+04,3.765025000000000000e+05
3.688569140625000000e+04,3.765512187500000000e+05
3.687897265625000000e+04,3.767325312500000000e+05
3.668344140625000000e+04,3.770628750000000000e+05
3.656623437500000000e+04,3.771683437500000000e+05
3.588722265625000000e+04,3.773001562500000000e+05
3.554381640625000000e+04,3.773668125000000000e+05
3.414459375000000000e+04,3.775997500000000000e+05
3.324958593750000000e+04,3.778099687500000000e+05
3.249356640625000000e+04,3.780512187500000000e+05
3.228167773437500000e+04,3.781104687500000000e+05
3.185683981820816916e+04,3.782470447346467990e+05
3.168659570312500000e+04,3.783156085197022767e+05
3.160867968750000000e+04,3.785145625000000000e+05
3.117189648437500000e+04,3.786558437500000000e+05
3.110131250000000000e+04,3.788265000000000000e+05
3.062883593750000000e+04,3.789735000000000000e+05
3.061090820312500000e+04,3.789790625000000000e+05
3.034347717526820634e+04,3.789366660964682233e+05
2.965793188315453153e+04,3.791075526535318349e+05
2.956139355560887998e+04,3.791701541897223797e+05
2.910110680249739016e+04,3.797083218301797169e+05
2.913049866495090828e+04,3.798420320285444614e+05
2.911108128655495602e+04,3.798986671645359602e+05
2.856733446521637234e+04,3.803321997080268338e+05
2.850982290917134378e+04,3.803237373080587713e+05
2.884439010919749489e+04,3.800546237002991838e+05
2.877394678824567745e+04,3.799875529260742478e+05
2.866241984389116988e+04,3.800021625735578127e+05
2.857215365684441713e+04,3.800972291828714078e+05
2.854675950164817914e+04,3.800121586706199450e+05
2.844588059130364127e+04,3.800243535964681651e+05
2.842925826779954150e+04,3.802008788551663747e+05
2.836910984161720262e+04,3.801637895057112328e+05
2.825681640625000000e+04,3.800150312500000000e+05
2.815676953125000000e+04,3.800627500000000000e+05
2.815418436934497731e+04,3.801076330372102093e+05
2.823577988956653644e+04,3.801847055883055436e+05
2.831732226562500000e+04,3.803085000000000000e+05
2.827554042839862450e+04,3.803627230307064019e+05
2.807938182541008428e+04,3.801575548672748846e+05
2.802138018004987316e+04,3.801939007521093008e+05
2.831740422056246098e+04,3.805262369099364732e+05
2.835334348614632836e+04,3.805832393024517805e+05
2.829449842554904899e+04,3.806350297563922359e+05
2.782279719837270750e+04,3.806508347630472272e+05
2.758491960271998323e+04,3.806642703354640980e+05
2.749049301725590340e+04,3.807076772279918077e+05
2.741708018451000680e+04,3.807603390437536291e+05
2.735292850732716397e+04,3.807786004208549275e+05
2.738906739037084844e+04,3.808715039449622273e+05
2.736386130258316916e+04,3.808949396445708699e+05
2.724683931044819110e+04,3.807011147806362715e+05
2.717361914062500000e+04,3.806824375000000000e+05
2.704657812500000000e+04,3.807291250000000000e+05
2.696496289062500000e+04,3.807591250000000000e+05
2.697550156630849597e+04,3.809102459239462623e+05
2.692770536131700646e+04,3.809626466625541216e+05
2.697690625000000000e+04,3.810732187500000000e+05
2.722743762767888984e+04,3.812350591865041060e+05
2.714606378927313199e+04,3.812653765020431019e+05
2.695660051240406392e+04,3.811396801056286786e+05
2.673272851562500000e+04,3.811830625000000000e+05
2.669526367187500000e+04,3.811999375000000000e+05
2.655058984375000000e+04,3.812345625000000000e+05
2.644947656250000000e+04,3.812587500000000000e+05
2.625173619307351692e+04,3.812732747977269464e+05
2.616713123383136553e+04,3.813156391271745670e+05
2.588697851562500000e+04,3.813437812500000000e+05
2.572563281250000000e+04,3.813511562500000000e+05
2.536774609375000000e+04,3.813853437500000000e+05
2.515483984375000000e+04,3.814755000000000000e+05
2.512321093750000000e+04,3.814893750000000000e+05
2.496668348736499684e+04,3.814968296228254330e+05
2.475576300380544490e+04,3.814706371995913796e+05
2.450981993804363447e+04,3.814516329188849777e+05
2.425797332431955510e+04,3.814262848881786340e+05
2.417097070312500000e+04,3.814091875000000000e+05
2.393509104374458548e+04,3.813973745744599728e+05
2.389888952717273423e+04,3.813081042389958748e+05
2.380834826901820634e+04,3.813103683661704417e+05
2.377874965108546530e+04,3.812049854472854640e+05
2.363897396684727573e+04,3.811024469209281378e+05
2.348593327037729250e+04,3.809890074933450087e+05
2.333881993804363447e+04,3.809023486732340534e+05
2.314112417024409297e+04,3.808301592456509243e+05
2.302239950556774784e+04,3.807520295394045534e+05
2.275457571235777505e+04,3.806487243157618213e+05
2.253540169700458864e+04,3.805684749582895311e+05
2.187220369535563441e+04,3.803610800483654602e+05
2.176548982172374599e+04,3.803690171228254330e+05
2.169007654211367844e+04,3.803228578771745670e+05
2.134939963327689838e+04,3.802131868574722903e+05
2.108914155270553965e+04,3.802154302236426738e+05
2.091314932255725216e+04,3.801495068508172990e+05
2.072612928070636553e+04,3.801053934078809107e+05
2.066049636182135873e+04,3.801468812082895311e+05
2.059352437364091020e+04,3.801039970043490757e+05
2.053341719429544173e+04,3.800713317673963029e+05
2.030999759157545850e+04,3.799339229472854058e+05
2.007219726562500000e+04,3.797965607894045534e+05
1.996401943319010024e+04,3.797820790728238644e+05
1.984369689116863810e+04,3.797343193508172408e+05
1.970550428070636553e+04,3.796621213618213660e+05
1.957744592948589343e+04,3.796131887850554776e+05
1.948319555502952790e+04,3.795652193925277097e+05
1.938742916910557324e+04,3.794783790956382290e+05
1.940120507812500000e+04,3.794043750000000000e+05
1.926732946113910657e+04,3.793361776535318349e+05
1.914674638736318957e+04,3.794393463201108971e+05
1.917482927812861089e+04,3.794983144275831874e+05
1.906246905197027445e+04,3.797116792650109273e+05
